accommodation_name,accommodation_address,accommodation_rating,accommodation_city
The Waverley International Hotel,"301 Springvale Rd, Glen Waverley VIC 3150, Australia",3.8,NUNAWADING
Manhattan Hotel,"Heatherdale Road &, Canterbury Rd, Ringwood VIC 3134, Australia",3.8,NUNAWADING
Hotel Cavalier,"343 Stud Rd, Wantirna South VIC 3152, Australia",3.3,NUNAWADING
Knox International Hotel and Apartments,"137 Mountain Hwy, Wantirna VIC 3152, Australia",3.3,NUNAWADING
Box Hill Motel,"177 Station St, Burwood VIC 3125, Australia",4.4,NUNAWADING
ADA Homestay,"18 Ada St, Doncaster VIC 3108, Australia",4.0,NUNAWADING
Elizabethan Lodge,"604-610 Middleborough Rd, Blackburn North VIC 3130, Australia",4.2,NUNAWADING
Best Western Mill Park Motel & Conference Centre,"14 The Link, Mill Park VIC 3082, Australia",4.0,SOUTH MORANG
Eltham Motor Inn,"1450 Main Rd, Eltham VIC 3095, Australia",4.1,SOUTH MORANG
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,SOUTH MORANG
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,SOUTH MORANG
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,SOUTH MORANG
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,SOUTH MORANG
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,SOUTH MORANG
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,SOUTH MORANG
Eltham Retreat,"158 Bolton St, Eltham VIC 3095, Australia",2.5,SOUTH MORANG
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,SOUTH MORANG
Eden Park Views,"Grants Rd, Eden Park VIC 3757, Australia",4.0,SOUTH MORANG
Warrandyte Goldfields B & B,"1/3 Whipstick Gully Rd, Warrandyte VIC 3113, Australia",4.9,SOUTH MORANG
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,SOUTH MORANG
Best Western Airport Motel & Convention Centre,"33 Ardlie St, Attwood VIC 3049, Australia",4.2,SOUTH MORANG
Parkville Motel,"759 Park St, Brunswick VIC 3056, Australia",3.7,SOUTH MORANG
Gladstone Park Hotel,"196 Mickleham Rd, Gladstone Park VIC 3043, Australia",3.9,SOUTH MORANG
Yarra House Guest Rooms,"Yarra House, Fairfield VIC 3078, Australia",0.0,SOUTH MORANG
Glendalough Bed & Breakfast,"197-199 Cashmere St, Travancore VIC 3032, Australia",4.5,SOUTH MORANG
Melbourne Airport Motel,"123 Mickleham Rd, Tullamarine VIC 3043, Australia",4.6,SOUTH MORANG
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,SOUTH MORANG
Motel Wellington Wodonga,"46 High St, Wodonga VIC 3690, Australia",4.0,WODONGA
Warrina Motor Inn,"31 High St, Wodonga VIC 3690, Australia",4.1,WODONGA
MOTEL 24,"13 High St, Wodonga VIC 3690, Australia",4.5,WODONGA
Stagecoach Motel Wodonga,"188 Melbourne Rd, Wodonga VIC 3690, Australia",4.6,WODONGA
Quest Wodonga,"46 Reid St, Wodonga VIC 3690, Australia",4.3,WODONGA
Twin City Motor Inn,"166 Melbourne Rd, Wodonga VIC 3690, Australia",3.8,WODONGA
Belvoir Village Motel,"2 Trafalgar St, West Wodonga VIC 3690, Australia",4.2,WODONGA
Econo Lodge Border Gateway Wodonga,"6 Moorefield Park Dr, Wodonga VIC 3690, Australia",4.5,WODONGA
Murray Valley Motel,"196 Melbourne Rd, Wodonga VIC 3690, Australia",4.4,WODONGA
Blazing Stump Motel & Suites Wodonga,"4327 Anzac Parade, Wodonga VIC 3690, Australia",4.4,WODONGA
Elm Court Motel,"435 Townsend St, Albury NSW 2640, Australia",3.7,WODONGA
BEST WESTERN PLUS Hovell Tree Inn,"614 Hovell St, Albury NSW 2640, Australia",4.4,WODONGA
Seaton Arms Motor Inn,"600 Olive St, Albury NSW 2640, Australia",4.2,WODONGA
Australia Park Motel,"356 Wodonga Pl, Albury NSW 2640, Australia",3.5,WODONGA
Hume Country Motor Inn,"736 Logan Rd, Albury NSW 2640, Australia",4.6,WODONGA
Meramie Motor Inn,"597 Kiewa St, Albury NSW 2640, Australia",4.5,WODONGA
The Hume Inn Motel,"406 Wodonga Pl, Albury NSW 2640, Australia",3.8,WODONGA
Astor Hotel Motel,"641 Young St, Albury NSW 2640, Australia",3.9,WODONGA
The Cottage Motor Inn Albury,"523 Hume St, Albury NSW 2640, Australia",4.2,WODONGA
Lakeview Villa's,"5 Peppermint Parade, Lake Hume Village NSW 2640, Australia",4.6,WODONGA
Quest Werribee,"69 Synnot St, Werribee VIC 3030, Australia",4.3,WERRIBEE
Werribee Motel & Apartments,"6 Tower Rd, Werribee VIC 3030, Australia",4.0,WERRIBEE
Werribee Park Motor Inn,"112-126 Duncans Rd, Werribee VIC 3030, Australia",4.5,WERRIBEE
Monte Villa Motor Inn,"78-80 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",3.5,WERRIBEE
Werribee Short Stay Villas & Accommodation,"150 Bulban Rd, Werribee VIC 3030, Australia",3.9,WERRIBEE
Apple House,"9 Prism St, Tarneit VIC 3029, Australia",4.1,WERRIBEE
Apple House Point Cook,"41 Creston St, Point Cook VIC 3030, Australia",4.8,WERRIBEE
Quality Suites Point Cook Seasons 5,"454 Point Cook Rd, Point Cook VIC 3030, Australia",4.1,WERRIBEE
Lancemore Mansion Hotel Werribee Park,"Gate 2, K Rd, Werribee VIC 3030, Australia",4.3,WERRIBEE
Melbourne Jumao,"14 Margaret St, Werribee VIC 3030, Australia",0.0,WERRIBEE
Club Laverton,"15 Aviation Rd, Laverton VIC 3028, Australia",3.9,WERRIBEE
Quest Sanctuary Lakes,"9 Greg Norman Dr, Point Cook VIC 3030, Australia",4.3,WERRIBEE
Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",3.8,WERRIBEE
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,WERRIBEE
Werribee South Caravan Park,"39 Beach Rd, Werribee South VIC 3030, Australia",4.2,WERRIBEE
Monte Villa Restaurant & Reception Centre,"78 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",4.3,WERRIBEE
Apple House Upper Point Cook,"37 Creston St, Point Cook VIC 3030, Australia",0.0,WERRIBEE
Little River Bed and Breakfast,"16 Flinders St, Little River VIC 3211, Australia",4.3,WERRIBEE
BOUTIQUE STAYS Gumflower,"7 Attunga Grove, Werribee VIC 3030, Australia",0.0,WERRIBEE
Little River Hotel Motel,"10/14 Flinders St, Little River VIC 3211, Australia",4.3,WERRIBEE
City East Motel,"181 Langridge St, Abbotsford VIC 3067, Australia",3.2,RICHMOND
Hotel Claremont Guesthouse,"189 Toorak Rd, South Yarra VIC 3141, Australia",4.0,RICHMOND
Australian Home Away @ Richmond,"9 Egan St, Richmond VIC 3121, Australia",4.3,RICHMOND
TWO FIVE ZERO / RICHMOND,"Burnley St, Richmond VIC 3121, Australia",5.0,RICHMOND
South Yarra Stays,"274a Domain Rd, South Yarra VIC 3141, Australia",5.0,RICHMOND
Luxury House Rental,"94 Highett St, Richmond VIC 3121, Australia",5.0,RICHMOND
Erin Street Residence,"24 Erin St, Richmond VIC 3121, Australia",0.0,RICHMOND
Soho52 Austrailia,"52 Young St, Fitzroy VIC 3065, Australia",0.0,RICHMOND
Lilydale Motor Inn,"474 Maroondah Hwy, Lilydale VIC 3140, Australia",3.4,LILYDALE
Yarra Valley Motel,"418-420 Main St, Lilydale VIC 3140, Australia",4.5,LILYDALE
Victoria House Motor Inn,"331 Maroondah Hwy, Croydon VIC 3136, Australia",4.5,LILYDALE
Yering Gorge Cottages,"215 Victoria Rd, Yering VIC 3770, Australia",4.8,LILYDALE
Lilydale 3 Bedroom Gill's Cottage,"14 Anderson St, Lilydale VIC 3140, Australia",0.0,LILYDALE
Ringwood Motel,"442 Maroondah Hwy, Croydon VIC 3136, Australia",2.9,LILYDALE
Yarra Ranges Country Apartment,"7 Aqueduct Ave, Mount Evelyn VIC 3796, Australia",4.8,LILYDALE
Westering Cottage Yarra Valley,"12 Bailey Grove, Wandin North VIC 3139, Australia",5.0,LILYDALE
Como Cottages Dandenong Ranges,"1465 Mount Dandenong Tourist Rd, Olinda VIC 3788, Australia",4.4,LILYDALE
Mountain Lodge Dandenong Ranges Accommodation,"1354 Mount Dandenong Tourist Rd, Mount Dandenong VIC 3767, Australia",5.0,LILYDALE
Cottages Monreale,"81 The Crescent, Sassafras VIC 3787, Australia",3.7,LILYDALE
Maroondah 3 Bedroom house,"1/8 Browning St, Kilsyth VIC 3137, Australia",4.5,LILYDALE
Country Roads Motor Inn,"197 Henty Hwy, Warracknabeal VIC 3393, Australia",4.0,WARRACKNABEAL
Warrack Motel,"2 Lyle St, Warracknabeal VIC 3393, Australia",3.8,WARRACKNABEAL
